en,ru
This of course includes Haqqani and his considerable following.,"В том числе ее будут придерживаться, конечно же, Хаккани и его последователи."
Bill had winced and walked around to the front of the building.,Билл вздрогнул и прошел к передней части здания.
Feasibility Study for Creation of Additional Uranium Mining Facilities by Mining Method.,ТЭО создания дополнительных мощностей по добыче урана подземным способом.
"At the mine where the research was conducted, the area of rock bursts threat is established.","На шахте, где проводились исследования, установлена зона угрозы горных ударов."
"When this place is finished, I want to create a multimedia studio.","Когда здесь все будет закончено, я хочу создать мультимедийную студию."
We cannot bear more suffering in our fellow man.,Мы не можем больше выносить страдание вокруг нас.
The laws of Massachusetts were based on the same premise.,На той же основе базировались законы Массачусетса.
"It is harder to do our own stuff, but that's a lot more interesting","Конечно же, тяжелее всего делать собственный материал, но это намного интереснее."
This is why protective goggles are recommended when using a sunbed.,"Поэтому, при использовании оборудования для загара рекомендуется надевать защитные очки."
Forced migrants organized a protest action,Вынужденные переселенцы провели акцию протеста
In India there was a fashion of drinking too much milk.,В Индии было принято выпивать слишком много молока.
Even the son of the king who gave me this place has no idea.,"Даже сын раджи, передавший мне это место во владение, не знает, что там."
No motive for arson could be adduced by the company or police and no suspect was arrested.,"Компания и полиция не смогли выявить мотива для поджога, поэтому никто не был арестован."
So it was only right that when you ask for this story,"И это правильно, что ты просил меня поведать эту историю."
Christ on the Cross pours out his Blood to set humanity free from the slavery of sin and death.,"Христос на Кресте пролил всю Свою кровь, чтобы освободить человечество от рабства греха и смерти."
"- External archive viewer with ""Date&Time"" filter",Внешний просмотрщик архива с фильтром по времени удобен для просмотра больших архивов
"Once all of the gold has detached from the pins, the bath is allowed to settle.","После того, как золото было отделено от контактов, ванне нужно дать время отстояться."
"He struck nine people but, fortunately, none were severely injured.","Он ударил и ранил девять человек, но к счастью, ни один из них не был серьезно ранен."
People from Shanghai are said to be more entrepreneurial than people in Beijing.,"В Шанхае, как говорят, люди более предприимчивы, чем в Пекине."
Those black eyesockets with their deep glowing depths would bend over him.,Черные глазницы с их мерцающими глубинами склонятся над ним.
These young people are disillusioned by the sad reality that society gives them.,Печальная реальность современного общества разочаровала этих людей.
All of the Committee members shall be provided with the copies of the minutes and recommendations.,Всем членам Комитета направляются копии протокола и подготовленных рекомендаций.
It's a question of context and the choice of the people engaged in the struggle.,"Это вопрос контекста и выбора людей, занятых в конкретной борьбе."
Almost no one understands that it is missing.,"Почти никто не понимает, что ее не хватает."
The things found during my arrest proved my story.,"Вещи, найденные у меня, подтверждали эту версию."
"For them, involuntary sterilisation has resulted in negative health effects and even divorce.",Принудительная стерилизация вызвала у них проблемы со здоровьем и даже привела к разводам.
Natalia and Andrey have two wonderful sons.,Наталья и Андрей воспитывают двоих замечательных сыновей.
And this begins with taking the time to listen to our bodies.,"И это начинается с того, чтобы вы всегда находили время прислушиваться к вашим органам."
"Be prepared for a tremendous amount of action if you approach the Rush Poker tables, however.","Однако приготовьтесь к невероятному объему игры, если сядете за стол Rush Poker."
"On the international level, the most pressing issue is mitigation of climate change.",На международном уровне самой насущной проблемой является смягчение последствий изменения климата.
"Yes, all countries in Europe allow non-EU residents to expand their business into Europe.","Да, все европейские страны разрешают нерезидентам размещать свой бизнес в Европе."
"Yes, and the amount and frequency depends upon the country in which you form your company.","Сумма и периодичность оплаты зависят от страны Европы, в которой зарегистрирована компания."
17. Expand the scope of employee autonomy.,17. Повысить степень автономности сотрудников.
JavaScript works in the user's web browser rather than on the web server.,"JavaScript работает в браузере пользователя, а не на сервере."
"A man went to visit the husband of his sister, then some time dead.",Один человек поехал в гости к мужу недавно умершей сестры.
Culture is not a frozen set of values and practices.,Культура не есть застывший набор ценностей и обычаев.
"To see this, consider some of the differences Horton emphasises.","Чтобы убедиться в этом, рассмотрим некоторые различия, подчеркиваемые Гортоном."
But the rationality of our beliefs will certainly be considerably increased.,"Рациональность же наших убеждений, безусловно, значительно возрастет."
"We were never the band of concepts, I am sure we won?t change on this record either.","Мы никогда не были концептуальной группой, и я уверен, что мы не изменимся на этой записи."
You'd think that a breaded lump of chicken would be pretty simple.,"Вы думаете, что пэто просто кусок курицы в панировке."
"The businessman claims that production of the dog food is steady, nothing changes in it.","Бизнесмен утверждает, что производство корма для собак установлено, нечто не меняется."
Yet we do not own the freshness of the air or the sparkle of the water.,"Нам не принадлежат ни свежесть воздуха, ни блеск воды."
There perhaps we may live out our brief days as we wish.,"Может быть, там сможем прожить конец наших дней, как сами хотим."
Group interim report for the third quarter of 2009,Промежуточный отчет Концерна 3 квартал 2009
"But, under energy deregulation, that was what happened.",С отменой госконтроля именно это и произошло.
"At one time or another, your child may be beset by fears such as these.",В то или иное время вашего ребенка могут охватывать подобные страхи.
Mankind now had to take greenhouse gases out of the air.,"Теперь человечеству предстоит решить, каким образом можно удалить эти примеси из воздуха."
"Instead, China risks squandering its credit through its nasty nationalism.","Вместо этого, он рискует подорвать собственный кредит своим внушающим отвращение национализмом."
Russian font is thinner and looks more original than English.,"Отличие русского шрифта в том, что он более тонкий, нежели английский, он выглядит оригинальнее."
The function refused working in all the profiles except for the default one.,"В нашем случае данная функция не работала при всех профилях, кроме установленного по умолчанию."
"They were to be his seed group, his future foremen.","Они были его испытательной группой, будущими мастерами."
"Fortunately, over the past few years, momentum has been gathering to achieve this very goal.","К счастью, за последние несколько лет появилось и окрепло стремление идти к этой цели."
"Dudley, meanwhile, was counting his presents.",Между тем Дадли пересчитывал свои подарки.
The operating system and all functionality is obtained across the network using the tftp protocol.,Операционная система и весь набор функций загружаются по сети с помощью протокола TFTP.
"And so here I am living in Russia, having been born in England.","И вот, родившись в Англии, я вдруг живу в России."
From 1999 graduates of PSU are given diplomas of a new state standard.,С 1999 года выпускникам ПГУ выдаются дипломы нового государственного образца.
The center has the function of making international contacts and relations of the university.,Этому центру приданы функции организатора международных связей и контактов университета.
The calculated sunrise time for your location,Время восхода солнца для вашего местоположения
A law is being drafted to regulate this aspect of Russia's development.,"Создается закон, согласно которому будет регламентироваться эта область развития России."
Life changes rapidly and the changes can be incorporated into the programme.,Жизнь стремительно меняется и изменения в программу могут быть приняты.
The descriptions which follow are drawn from these official sources.,Приводимые ниже описания почерпнуты из этих официальных источников.
"Domesticating authority takes many forms, some of which are difficult to recognize.","Одомашнивающая власть принимает множества форм, некоторые из которых тяжело опознать."
There are probably dozens of herbs that can dissolve kidney crystals and stones.,"Вероятно, существуют десятки трав, которые растворяют почечные кристаллы и камни."
Scripture shows us that He whole heartily embraced biblical Judaism.,"Писания показывают нам, что он сердечно принял библейский иудаизм."
Three days after the operation it was impossible to persuade Dick to change a bandage.,Через три дня после операции уговорить Дика сделать перевязку было уже невозможно.
He sees the mutants as children or wild animals.,Он воспринимает мутантов как детей или диких животных.
"This concept is repeated for many applications, de-cluttering the desktop.","Такой принцип запуска реализован для многих приложений, что позволяет освободить рабочий стол."
We'll explain both kinds of namespaces as we go along.,"Далее мы рассмотрим оба типа пространств имен, но пока только"
"It always does what is best for others, and can empower us to face the greatest of problems.",Она всегда делает лучшее для других и может дать нам силу пройти самые большие проблемы.
The Society had a considerable in fluence on the cultural level of the community.,Общество имело большое влияние на культурный уровень общины.
Some of their children came to Eretz Israel.,Некоторые из их детей приехали в Эрец Исраэл.
No one comes to the Father excerpt through Me.,"Никто не приходит к Отцу, как только через Меня."
There were 3 photographers who were attacked and stabbed.,К тому моменту уже трое фотографов подверглись нападениям.
"Just to explain the first 2 verses of Genesis Chapter 1, it took 20 lectures.",Для одного только объяснения первых двух стихов первой главы Бытия потребовалось 20 проповедей.
"God is the only Creator, and He lives and works the same yesterday and today and forever.","Лишь Бог есть Творец, Он живет и действует так же вчера, сегодня и во веки."
I told you that God the Origin consists of mainly the Light and the Sound.,"Я говорил вам, что Предвечный Бог состоит из Света и Звука."
"Just as a sound is conveyed in the wind, God the Origin kept the Sound in the Light.","Точно так же как звук передается с ветром, у Предвечного Бога Звук был в Свете."
"Infineon, Intel, Panasonic and Texas Instruments will serve on the board of directors.","Компании Infineon, Intel, Panasonic и Texas Instruments вошли в состав совета директоров."
Competitors regularly socialise or hold meetings shortly before the tender deadline.,14 Конкуренты регулярно общаются или проводят встречи незадолго до подведения итогов торгов.
Carefully record all information so that a pattern of behaviour can be established over time.,"Тщательно регистрируйте всю информацию, чтобы со временем вы могли выявить эту модель поведения."
Material rights cover rights and freedoms.,Материальные права охватывают права и свободы.
And it is crucial that government helps organizations of such type.,"И очень важно, чтобы законодательство помогало организациям такого типа."
Any excess payment shall be refunded and any deficiency shall be repaid.,Любая избыточная оплата и любая неточность должны быть возмещены.
Fuel-cost savings in the transport sector amount to $6.2 trillion over the projection period.,"Экономия топлива в транспортном секторе за период прогнозирования составит 6,2 трлн долларов."
We recommend that you arrive in Palau on Sunday.,Мы советуем прилетать на Палау в воскресенье.
"Rose water was more delicate, and immediately became popular.","Розовая вода была более тонка, и немедленно стала популярной."
Discussions on the formation of the Left Bloc began in mid-1998.,Дискуссии вокруг формирования Левого Блока начались в середине 1998 года.
Orgasm can only occur with continuous stimulation of the maximally aroused clitoris!,Оргазм может происходить только при непрерывной стимуляции максимально возбужденного клитора.
The FDA currently does not recognize an objective test to measure clitoral erection.,"FDA в настоящее время не признает, что возможно объективно измерить эрекцию клитора."
"Now, every time you post a message, this will be appended to it.","Теперь каждый раз, когда вы будете посылать сообщение, этот файл будет к нему добавлен."
"Based on this material, the Court will decide how to handle the case further.",На основе полученных ответов Суд определит дальнейшую судьбу жалобы.
"Nor are they likely to suffer an accidental needle stick, as might a medical worker.","Вряд ли они могут пострадать от зараженной иглы, как медицинский работник."
It is because you can recover your youth when you enter the stage of the whole spirit.,"Дело в том, что вы можете вернуть молодость, когда достигнете стадии полноты духа."
"For your reference, I am going to tell you the phenomena that happen in the cell nucleus.","Для вашей информации я расскажу о некоторых явлениях, которые происходят в ядре клетки."
"However, if God works, the light of His power precisely works only on the cancer cell.",Но при Божьем вмешательстве свет Его силы действует только на раковые клетки.
"The real enemy is often the clever one, the one often disguised as an ally.","Настоящим врагом часто является хитрый противник, который притворяется союзником."
This will put upward pressure on interest rates.,Это будет оказывать повышательное давление на процентные ставки.
Use unrelated passwords for systems controlled by different organizations.,"Используйте непохожие пароли для систем, управляемых разными организациями."
Recommendations on drawing down UNOCI will be made after the elections.,Рекомендации по сокращению численного состава ОООНКИ будут вынесены после выборов.
We strongly recommend that you take out insurance for your own financial and personal security.,Мы Вам строго рекомендуем приобрести страховку для Вашей финансовой и личной безопасности.
"First you have to know that there is a spirit in the tree, and in the river, and in the sky.","Сначала вы должны узнать, что в дереве, в реке и в небе есть дух."
Father Verlinde was born in 1947 into a deeply religious family.,Отец Ферлен родился в 1947 году в религиозной семье.
Jesus had come looking for me in the Himalayas.,"Иисус пришел искать меня даже здесь, в Гималаях."
"Electric installation - fitted plugs, switches and illuminants.","Электрический пост с ключом, контактами и осветительными телами."
"You can work for any company, and in any capacity",Вы можете работать в любой компании и на любой должности
"They are read wholly, each time they last several minutes.","Их произносят целиком, каждый раз по несколько минут."
"26. When they are alone, foreign military officers prefer to speak to each other in English.","26. Когда иностранные военные одни, они предпочитают говорить друг с другом на английском."
The fine tuning of the universe provides prima facie evidence of deistic design.,"Точная настройка вселенной представляет, на первый взгляд, доказательство деистического дизайна."
There are a few things that can be done in times of grave emergencies.,"Есть несколько вещей, которые можно сделать во время серьезных чрезвычайных ситуаций."
"Amnesty International, however, does not think this kind of assistance is adequate.",Но такую помощь Международная амнистия считает недостаточной.
EVE Online is unique among today's most popular MMOs for its single-server approach.,Среди сегодняших наиболее популярных ММО Ева уникальна своей идеологией единого сервера.
That means this group of people is not worth anything as a diaspora.,"Значит, она ничего не стоит как диаспора."
The file name will appear in the File name text box after you select the certificate.,"Имя файла появится в текстовом поле Имя файла после того, как вы выберете сертификат."
"It was the same for medical care, as with anything else.",Вот и с медицинским уходом вышло то же самое.
"Now that my life-force had been restarted, I couldn't waste my time.","Теперь, когда моя жизненная сила перезапустилась, я не мог терять моего времени."
I wanted to tell them how grateful I was that they brought me into this world.,"Я хотел сказать им, как благодарен им за то, что они пустили меня в этот мир."
"So, to everyone who stuck with me through this long document, thank you.","И, всем, кто застрял со мной вместе в этом длинном документе, спасибо вам."
"But well, these are details, on with the tracks.","Но это все детали, пора перейти к песням."
Many political words are similarly abused.,Подобным же образом злоупотребляют множеством политических слов.
"I encourage them to learn ActionScript, JavaScript, PHP, or Flex.","Я поощряю их изучать ActionScript, JavaScript, PHP или Flex."
Ask about his family and he'll tell you about his state of mind.,"Спросите его о семье, и он расскажет вам о своем настроении."
I ask him what he recalls about his father.,"Я спрашиваю его, что он помнит о своем отце."
"His spleen ruptured, but they sewed it up.","Селезенка разорвалась, но ее зашили обратно."
Keanu looks unhappy when I allude to this.,"Кеану выглядит несчастным, когда я намекаю на это."
"In 2007, 4.6 million procedures were performed, of which about 300,000 were on men.","В 2007 году было проведено 4,6 млн процедур, из которых 300 тысяч пришлось на долю мужчин."
The animal climbed into a nearby tree and began munching gum leaves.,Животное залезло на дерево и стало смотреть на людей внизу.
"In addition to the above problems, the disc subsystem can cause problems.",В дополнение к перечисленным проблемам возможно возникновение проблем в дисковой подсистеме.
We have conducted reforms in Bulgaria in the last years.,Последние годы мы в Болгарии проводим реформы.
"There is a contract signed with a customer for this capacity, already.",Контракт с клиентом на эту емкость уже подписан.
I would also like to note that Nursultan Nazarbayev devotes his attention to the company.,"Вообще хотел бы отметить, что мы не обделены вниманием Главы государства."
Admission to many universities and colleges is based on the results of these modules.,Прием во многие университеты и колледжи основан на результатах этого модуля.
In a certain general and entirely abstract sense this is true.,"В общем и совершенно абстрактном смысле это, безусловно, верно."
Keep the ticket handy for inspections later down the route.,"Сохраните билет для предъявления контролеров, которые появятся немного позже."
Right after the end of the Russian championship we will publish this document.,Сразу по окончании Чемпионата России этот документ будет опубликован.
They are part of something they do not understand and cannot participate in.,"Они часть того, чего они не понимают и в чем не могут принять никакого участия."
The trade negotiators are not even discussing eliminating this double standard.,При этом торговые переговоры даже не затрагивают отмену таких двойных стандартов.
"Serious problems stand in the way of longed-for prosperity, though.",Но на пути к долгожданному процветанию стоят серьезные проблемы.
"At the same time, however, the Proto-atom from which it sprang could not have existed.","Но вместе с тем Праатома, из которого она вылупилась, быть не могло."
"The President rarely gives oral comments on his cadre decisions either, he just makes them.","Президент свои кадровые решения редко комментирует и устно, он их попросту принимает."
Let us take an official publication and read the order.,"Разворачиваем официальное издание, читаем указ."
We were very proud of our first commercials!,Так мы начали производить первые видеоролики и очень гордились этим.
"A feast every night unto Nu, and the pleasure of uttermost delight!","Празднество каждую ночь ради Ну, и блаженство наивысшего счастья."
"Experiments in creation, involving variation from existing types, are lawful and necessary.","Эксперименты по созданию новых видов, включая вариации уже существующих, законны и необходимы."
"Potentially, VASIMR could provide the periodic boosts needed to keep the ISS in its orbit.",В будущем двигатели типа VASIMR смогут быть установлены на МКС для поддержания ее орбиты.
"On August, 9 Georgian armoured units and infantry entered this urban district.",9 августа грузинские бронетехника и следом за ней пехота вторглись в этот район города.
I was so happy to be very close to Rob and I was happily dazzled.,"Я была так счастлива, что нахожусь так близко к Робу."
Modeling is a part-time hobby for college-educated Jayden .,"Моделирование неполный увлечение высшим образованием, Джейден."
Similar differences exist with respect to immigration.,Похожие рвзличия существуют по отношению к иммиграции.
2. In each house lives a person of different nationality,2. В каждом доме живет по одному человеку отличной от другого национальности.
"Jesus listened to them patiently, but he would not consent to return.","Иисус терпеливо выслушал их, однако отказался вернуться."
"Earlier, we could not offer a service like this.",Раньше мы такой услуги предложить не могли.
"Thank you all for your past, present, and future discoveries.","Спасибо вам за все ваши прошлые, нынешние и будущие открытия."
And this is one more example of why we cannot allow our nation to fall behind.,"И это еще один пример того, почему мы не можем позволить нашей стране отставать."
"Yes, scientific innovation offers us the chance to achieve prosperity.","Да, научные изобретения помогают нам достигнуть процветания."
"Without property rights, no other rights are possible.",Без права на собственность невозможны никакие другие права.
Thus the government's function was changed from the role of ruler to the role of servant.,"Таким образом, власть перешла от роли правителя к роли слуги."
There are basically four levels of court in Canada.,В Канаде действует по существу четырехуровневая судебная система.
"With regard to the EU, it was a matter of closer institutional and trade partnership.","Что же касается ЕС, речь шла о более тесном институциональном и торговом сотрудничестве."
I know that the narcotics coming out of Afghanistan are of very real concern for Russia.,"Мы знаем, что наркотрафик из Афганистана вызывает очень серьезную обеспокоенность у России."
They are isolated in the international community and still they move ahead.,"Иранцы изолированы международным сообществом, но продолжают двигаться в этом направлении."
"The swimming pool, sauna and steam bath will be at the owners and guests exclusive disposal.","Владельцы апартаментов и гости гостиницы могут посещать бассейн, сауну и парилку."
The trailing T in the number denotes a tracked vehicle.,T в номерном знаке применяется для гусеничных машин.
"So, copy this and send it to all your contacts.]",Так что скопируй это и перешли всем своим контактам
"The IPO is expected to be priced on Monday evening, with the stock set to start trading on Tuesday.","IPO ожидается будет оценено в понедельник, с началом торгов по акциям во вторник."
I attribute my success to remaining true to this philosophy.,Свой успех я объясняю верностью этой философии.
"Yes, I wanted to be tall and to have an important nose.","Да, я хотел быть высоким и иметь примечательный нос."
"When my business partner died in 1985, some people thought that Id close the firm.","Когда в 1985 году умер мой партнер по бизнесу, некоторые думали, что я закрою фирму."
"To me, style is more important than transient trends.",Для меня стиль важнее преходящих тенденций.
Join the Dragon Souls and become a legend among men.,Присоединитесь к Душам Дракона и становись легендой среди мужчин.
"Oh! take time, to get very low before God.","О, не жалейте времени для того, чтобы склонится очень низко перед Богом."
"Begin each day thus in fellowship with God, and God will be all in all to you.","Начинайте каждый день с общения с Богом, и тогда Бог будет все во всем для вас."
This is good for all the participants and especially for the winners.,"Это хорошо для всех участников, а особенно для победителей."
And in the future we will need much more of this kind of orientation than we do today.,"В будущем нам будет нужно намного лучше ориентироваться, чем сегодня."
"Complaint of incorrect, defective or incomplete deliveries","Рекламации по поводу неправильных, недоброкачественных или неполных поставок"
We may also share such information with third parties acting on our behalf.,"Мы также можем передавать такую информацию третьим сторонам, действующим от нашего имени."
Just as long as the owner of the cafe does not hear him.,"Но говорит он это так, чтобы его не услышал владелец кафе."
I've heard a few tales of the strange creatures that wander your lands.,"Я слышал несколько баек о странных созданиях, что встречаются в ваших землях."
The connections depend on the output protocol in use.,Соединения зависят от используемого протокола выхода.
"Temperature control, water feed, drainage","Контроль температуры, подвод воды, канализации"
"On the Insert tab, in the Links group, click Bookmark.",На вкладке Вставка в группе Ссылки выберите команду Закладка.
"Our son Peter was most entranced by the device, and became quite a pro at surfing the net.","Наш сын Питер был больше всех очарован устройством, и стал весьма неплохо серфить в сети."
"To this end, I have decided to publish the top ten signs that your son is a hacker.","С этой целью я решил опубликовать десять самых важных признаков того, что ваш сын хакер."
In case of a positive test result they are excluded from working there.,При положительном результате больным работать на кухне нельзя.
Its power is not limited to renaming functions only.,Возможности SR не ограничиваются только переименованием.
Make sure that the water is either not too hot nor too cold.,"Следите за тем, чтобы вода не была ни слишком горячей, ни слишком холодной."
"If a man and a woman do the same work, they should get the same pay.","Если мужчина или женщина выполняют одинаковую работу, они должны получать одинаковую оплату."
More money than ever is being poured into electric-car technology.,В наши дни в технологии электромобилей вливается очень много денег.
